posX0;posY0;posZ0;posVel0;rotX0;rotY0;rotZ0;rotVel0;confidence0;posX1;posY1;posZ1;posVel1;rotX1;rotY1;rotZ1;rotVel1;confidence1;posX2;posY2;posZ2;posVel2;rotX2;rotY2;rotZ2;rotVel2;confidence2;posX3;posY3;posZ3;posVel3;rotX3;rotY3;rotZ3;rotVel3;confidence3;posX4;posY4;posZ4;posVel4;rotX4;rotY4;rotZ4;rotVel4;confidence4;posX5;posY5;posZ5;posVel5;rotX5;rotY5;rotZ5;rotVel5;confidence5;posX6;posY6;posZ6;posVel6;rotX6;rotY6;rotZ6;rotVel6;confidence6;posX7;posY7;posZ7;posVel7;rotX7;rotY7;rotZ7;rotVel7;confidence7;posX8;posY8;posZ8;posVel8;rotX8;rotY8;rotZ8;rotVel8;confidence8;posX9;posY9;posZ9;posVel9;rotX9;rotY9;rotZ9;rotVel9;confidence9;posX10;posY10;posZ10;posVel10;rotX10;rotY10;rotZ10;rotVel10;confidence10;posX11;posY11;posZ11;posVel11;rotX11;rotY11;rotZ11;rotVel11;confidence11;posX12;posY12;posZ12;posVel12;rotX12;rotY12;rotZ12;rotVel12;confidence12;posX13;posY13;posZ13;posVel13;rotX13;rotY13;rotZ13;rotVel13;confidence13;posX14;posY14;posZ14;posVel14;rotX14;rotY14;rotZ14;rotVel14;confidence14;posX15;posY15;posZ15;posVel15;rotX15;rotY15;rotZ15;rotVel15;confidence15;posX16;posY16;posZ16;posVel16;rotX16;rotY16;rotZ16;rotVel16;confidence16;posX17;posY17;posZ17;posVel17;rotX17;rotY17;rotZ17;rotVel17;confidence17;posX18;posY18;posZ18;posVel18;rotX18;rotY18;rotZ18;rotVel18;confidence18;posX19;posY19;posZ19;posVel19;rotX19;rotY19;rotZ19;rotVel19;confidence19;posX20;posY20;posZ20;posVel20;rotX20;rotY20;rotZ20;rotVel20;confidence20;posX21;posY21;posZ21;posVel21;rotX21;rotY21;rotZ21;rotVel21;confidence21;posX22;posY22;posZ22;posVel22;rotX22;rotY22;rotZ22;rotVel22;confidence22;posX23;posY23;posZ23;posVel23;rotX23;rotY23;rotZ23;rotVel23;confidence23;posX24;posY24;posZ24;posVel24;rotX24;rotY24;rotZ24;rotVel24;confidence24;posX25;posY25;posZ25;posVel25;rotX25;rotY25;rotZ25;rotVel25;confidence25;posX26;posY26;posZ26;posVel26;rotX26;rotY26;rotZ26;rotVel26;confidence26;posX27;posY27;posZ27;posVel27;rotX27;rotY27;rotZ27;rotVel27;confidence27;posX28;posY28;posZ28;posVel28;rotX28;rotY28;rotZ28;rotVel28;confidence28;posX29;posY29;posZ29;posVel29;rotX29;rotY29;rotZ29;rotVel29;confidence29;posX30;posY30;posZ30;posVel30;rotX30;rotY30;rotZ30;rotVel30;confidence30;posX31;posY31;posZ31;posVel31;rotX31;rotY31;rotZ31;rotVel31;confidence31;TimeStamp
36.679382;265.849792;966.020996;0;-0.243286;0.66619;-0.352003;0;2;38.068619;142.633606;1072.44812;0;-0.271132;0.649288;-0.382282;0;2;36.790878;35.739555;1146.716064;0;-0.44535;0.56853;-0.444423;0;2;45.364273;-157.748062;1188.53479;0;-0.48642;0.531059;-0.488584;0;2;74.703705;-124.755119;1181.341675;0;0.660997;-0.730031;-0.078774;0;2;197.305237;-83.067909;1165.459717;0;0.571017;-0.4865;-0.2397;0;2;228.953079;153.256958;1083.267944;0;0.093318;-0.533758;0.096135;0;2;141.575211;164.519608;890.796631;0;0.431024;0.431615;0.641333;0;2;124.148781;250.35405;883.589722;0;0.633056;-0.224955;0.739591;0;2;114.556366;212.482956;793.042419;0;0.633056;-0.224955;0.739591;0;2;84.339836;203.553162;798.594971;0;-0.180988;-0.25707;-0.665622;0;2;13.35555;-126.389664;1183.775146;0;0.741713;0.655417;-0.138416;0;2;-101.796478;-98.621712;1164.424927;0;0.523055;0.593993;-0.573492;0;2;-166.767365;133.28624;1074.795166;0;0.55096;0.165722;-0.808861;0;2;-94.323578;162.092819;875.118896;0;-0.494996;0.398687;0.465674;0;2;-82.66468;180.346161;783.007202;0;0.541432;-0.43373;-0.433223;0;2;-79.03376;204.311874;689.154236;0;0.541432;-0.43373;-0.433223;0;2;-43.208317;156.921204;763.383545;0;0.595139;0.071684;-0.769047;0;2;118.657661;257.039703;954.750977;0;0.070155;0.782306;0.002301;0;2;33.217186;223.995377;601.05658;0;-0.364055;0.580785;-0.524177;0;2;54.274887;565.080383;529.351013;0;-0.388908;0.575742;-0.449902;0;1;46.84552;623.731384;368.922638;0;0.675465;-0.092026;0.721132;0;1;-37.244041;273.79425;976.183655;0;0.582119;0.09851;0.805581;0;1;-147.781723;310.590149;630.305054;0;0.46917;0.607276;0.538303;0;1;-85.042397;656.607849;601.350769;0;0.474635;0.590876;0.569651;0;1;-118.343979;735.827454;469.592163;0;0.112967;0.823947;-0.01231;0;1;48.1418;-232.162155;1192.10498;0;0.530798;-0.558368;0.454118;0;2;47.904739;-282.53006;1054.373291;0;0.530798;-0.558368;0.454118;0;2;77.2173;-307.218903;1088.147461;0;0.691761;-0.073715;0.715936;0;2;131.525162;-278.618408;1186.222656;0;0.447499;0.454118;0.558367;0;2;29.727877;-311.6651;1086.781738;0;0.691761;-0.073715;0.715936;0;2;-17.678772;-302.457062;1196.172119;0;0.530798;-0.558368;0.454118;0;2;7368633344
36.681126;265.85675;966.031372;0;-0.243294;0.666194;-0.351995;0;2;38.073479;142.642914;1072.456299;0;-0.271138;0.649294;-0.382272;0;2;36.798626;35.75135;1146.723511;0;-0.445366;0.568535;-0.444405;0;2;45.379662;-157.731979;1188.541992;0;-0.486436;0.531065;-0.488566;0;2;74.717194;-124.738403;1181.349487;0;0.660993;-0.730032;-0.078797;0;2;197.315308;-83.047646;1165.471558;0;0.571004;-0.486509;-0.239708;0;2;228.959412;153.27211;1083.278564;0;0.093297;-0.533768;0.09614;0;2;141.586365;164.525665;890.809082;0;0.430996;0.43158;0.641349;0;2;124.150307;250.356552;883.604126;0;0.633065;-0.225021;0.739565;0;2;114.566154;212.479782;793.060425;0;0.633065;-0.225021;0.739565;0;2;84.347527;203.527252;798.607178;0;-0.181068;-0.257001;-0.665503;0;2;13.370263;-126.375664;1183.78186;0;0.741712;0.65542;-0.138408;0;2;-101.780273;-98.611885;1164.431274;0;0.523036;0.594008;-0.573482;0;2;-166.748581;133.2995;1074.822998;0;0.550964;0.165757;-0.808859;0;2;-94.313416;162.129227;875.151489;0;-0.494976;0.398701;0.465431;0;2;-82.655029;180.418457;783.048828;0;0.54144;-0.433735;-0.43297;0;2;-79.026596;204.424286;689.207886;0;0.54144;-0.433735;-0.43297;0;2;-43.212372;157.002563;763.415222;0;0.595109;0.071711;-0.768963;0;2;118.658005;257.048859;954.761475;0;0.07009;0.782365;0.002278;0;2;33.159084;224.051041;601.084229;0;-0.364047;0.580825;-0.524219;0;2;54.187664;565.137024;529.407715;0;-0.388919;0.575776;-0.449946;0;1;46.730793;623.803467;368.989838;0;0.675418;-0.09202;0.721187;0;1;-37.241039;273.799225;976.193909;0;0.582121;0.098494;0.805581;0;1;-147.776962;310.584717;630.321167;0;0.469188;0.607239;0.538341;0;1;-85.058052;656.595947;601.330261;0;0.47465;0.590841;0.569684;0;1;-118.364822;735.799805;469.56723;0;0.112992;0.823946;-0.012262;0;1;48.160393;-232.144501;1192.112305;0;0.530902;-0.558393;0.453925;0;2;47.982384;-282.528168;1054.389526;0;0.530902;-0.558393;0.453925;0;2;77.290619;-307.203949;1088.175537;0;0.691863;-0.07387;0.715817;0;2;131.557449;-278.576447;1186.262817;0;0.44754;0.453925;0.558393;0;2;29.80385;-311.66394;1086.794922;0;0.691863;-0.07387;0.715817;0;2;-17.639843;-302.456543;1196.166748;0;0.530902;-0.558393;0.453925;0;2;7368666624
31.789295;265.369995;953.138977;0;-0.194438;0.692436;-0.357537;0;2;38.136246;147.00676;1068.089111;0;-0.237196;0.664637;-0.406889;0;2;37.610935;39.291679;1144.391235;0;-0.435555;0.574649;-0.44251;0;2;45.658306;-156.018692;1190.905884;0;-0.476907;0.537312;-0.487168;0;2;75.51902;-122.893272;1182.602783;0;0.655719;-0.736417;-0.075121;0;2;200.487991;-82.473076;1166.682129;0;0.572775;-0.48157;-0.256155;0;2;231.169159;159.898972;1091.004761;0;0.075649;-0.537301;0.093981;0;2;142.907394;165.329865;895.404236;0;0.427608;0.377414;0.661004;0;2;116.342262;249.650055;884.140991;0;0.64851;-0.257175;0.7164;0;2;113.68293;211.742294;791.636353;0;0.64851;-0.257175;0.7164;0;2;83.383072;204.326752;800.490601;0;0.215889;0.233699;0.713627;0;2;13.325624;-124.145226;1185.719604;0;0.749643;0.648415;-0.130422;0;2;-104.106537;-99.150642;1165.732666;0;0.519566;0.590641;-0.575552;0;2;-166.027359;138.538895;1078.666138;0;0.552256;0.143307;-0.812145;0;2;-90.172844;159.834763;876.068542;0;-0.426989;0.457657;0.368587;0;2;-77.04792;181.643677;783.548096;0;0.53397;-0.511931;-0.288503;0;2;-86.326706;216.425644;692.077698;0;0.53397;-0.511931;-0.288503;0;2;-42.47068;159.135406;763.977783;0;0.5567;0.022431;-0.741743;0;2;113.145348;252.144455;935.028748;0;0.086611;0.758204;0.041789;0;2;52.102726;187.275589;575.378906;0;-0.387828;0.572379;-0.499065;0;1;67.663048;533.058411;500.691467;0;-0.38603;0.578843;-0.469184;0;1;54.087273;597.713257;340.385864;0;0.661349;-0.08058;0.737076;0;1;-41.573032;277.296021;969.469849;0;0.56616;0.101303;0.815204;0;1;-166.821213;309.870819;622.715454;0;0.464503;0.623811;0.534388;0;1;-91.747574;658.450989;592.818848;0;0.457452;0.623298;0.555929;0;1;-126.469818;746.593201;464.471619;0;0.10951;0.837179;-0.044865;0;1;48.09948;-231.402008;1196.11438;0;0.540706;-0.544971;0.44816;0;2;52.932705;-281.044922;1056.00769;0;0.540706;-0.544971;0.44816;0;2;81.10437;-306.668823;1091.126587;0;0.706217;-0.068456;0.702249;0;2;132.465256;-279.127319;1192.95813;0;0.458035;0.44816;0.544971;0;2;33.003479;-310.776367;1087.815552;0;0.706217;-0.068456;0.702249;0;2;-19.300938;-302.187988;1196.879395;0;0.540706;-0.544971;0.44816;0;2;7368699904
31.589993;263.196136;951.391846;0;-0.184575;0.695877;-0.3547;0;2;38.312679;146.847916;1068.658203;0;-0.229702;0.666681;-0.406932;0;2;37.581085;39.87772;1146.287476;0;-0.437181;0.574307;-0.441692;0;2;46.0494;-155.732834;1192.577271;0;-0.478506;0.537036;-0.486325;0;2;75.87941;-122.473999;1184.380371;0;0.655644;-0.736633;-0.071866;0;2;201.066681;-82.485619;1167.694824;0;0.569464;-0.484354;-0.260637;0;2;231.227554;160.344345;1092.169189;0;0.070816;-0.541935;0.094005;0;2;144.698151;163.776459;895.450745;0;0.422873;0.403098;0.65691;0;2;121.290367;249.403931;886.349915;0;0.636999;-0.240751;0.732159;0;2;114.026314;212.234406;793.654358;0;0.636999;-0.240751;0.732159;0;2;84.634399;203.405823;801.515198;0;0.198786;0.240981;0.697144;0;2;13.603232;-123.895432;1187.362671;0;0.749147;0.648479;-0.13389;0;2;-103.818352;-99.431725;1165.771851;0;0.519786;0.591142;-0.574109;0;2;-166.246887;138.799438;1079.553345;0;0.55356;0.144786;-0.811225;0;2;-91.108322;160.890411;876.476013;0;-0.424275;0.448956;0.383538;0;2;-75.916;181.47081;783.863098;0;0.537164;-0.508795;-0.29965;0;2;-85.250122;215.148956;691.851563;0;0.537164;-0.508795;-0.29965;0;2;-46.73299;162.082001;764.519775;0;0.577831;0.023196;-0.723053;0;2;112.808983;249.143036;932.792664;0;0.099018;0.751482;0.061704;0;2;57.509403;167.029861;575.255005;0;-0.384225;0.579501;-0.482468;0;1;69.245285;510.427124;487.802979;0;-0.380996;0.586108;-0.45489;0;1;56.132893;569.453369;325.065796;0;0.663286;-0.095859;0.732046;0;1;-41.648739;275.868439;968.163635;0;0.560407;0.09888;0.818805;0;1;-172.220673;304.448792;622.516602;0;0.463518;0.627439;0.535192;0;1;-94.453056;652.717957;590.473816;0;0.45925;0.624646;0.554681;0;1;-128.810822;740.728149;461.684692;0;0.113031;0.837251;-0.046721;0;1;48.680138;-231.213989;1197.681274;0;0.539723;-0.530281;0.448052;0;2;56.395287;-281.348846;1057.676636;0;0.539723;-0.530281;0.448052;0;2;82.569672;-307.863464;1093.76416;0;0.718355;-0.058145;0.691785;0;2;131.55899;-281.813446;1197.31543;0;0.476184;0.448052;0.530281;0;2;34.429161;-310.365417;1088.890015;0;0.718355;-0.058145;0.691785;0;2;-21.138657;-299.785309;1196.325562;0;0.539723;-0.530281;0.448052;0;2;7368733184
30.409327;262.842712;953.039307;0;-0.18492;0.697314;-0.352348;0;2;37.791519;147.430267;1069.990234;0;-0.229536;0.668628;-0.404144;0;2;37.727497;41.333103;1147.662476;0;-0.440189;0.572888;-0.445355;0;2;46.559998;-153.801682;1191.315552;0;-0.481183;0.535329;-0.489862;0;2;76.165268;-120.58007;1183.455566;0;0.661593;-0.732619;-0.072267;0;2;201.217407;-81.754326;1168.516968;0;0.569207;-0.484449;-0.258982;0;2;231.120438;159.597916;1092.623413;0;0.074477;-0.541485;0.092506;0;2;145.056519;164.684937;896.948364;0;0.426689;0.391415;0.664768;0;2;120.626007;249.261032;885.509094;0;0.636167;-0.245658;0.731283;0;2;113.664131;211.82309;793.457458;0;0.636167;-0.245658;0.731283;0;2;85.47628;203.17746;802.231323;0;0.205874;0.23905;0.701767;0;2;14.223564;-122.109177;1186.630249;0;0.745333;0.654475;-0.125233;0;2;-103.104126;-98.36795;1167.39209;0;0.524358;0.581975;-0.577551;0;2;-162.105408;138.682449;1079.585815;0;0.560996;0.143191;-0.807314;0;2;-90.744873;161.01825;876.373474;0;-0.425994;0.447303;0.385846;0;2;-75.607735;181.483994;784.240601;0;0.538641;-0.507572;-0.302205;0;2;-84.961411;214.81517;692.647644;0;0.538641;-0.507572;-0.302205;0;2;-47.075584;162.561066;764.956299;0;0.581339;0.02464;-0.720872;0;2;111.254868;249.206314;934.479187;0;0.108438;0.747494;0.07945;0;2;59.210602;153.298462;581.903198;0;-0.3835;0.584567;-0.472657;0;1;67.118584;493.349121;488.543793;0;-0.386617;0.586707;-0.443915;0;1;56.045132;550.257996;325.854309;0;0.670316;-0.104014;0.724642;0;1;-42.492649;275.139252;969.775818;0;0.563123;0.08337;0.818185;0;1;-172.224762;291.920502;625.085205;0;0.465029;0.622123;0.537802;0;1;-98.593666;639.110718;592.196411;0;0.457497;0.623644;0.555136;0;1;-132.932861;727.127747;464.430878;0;0.109067;0.836869;-0.04567;0;1;49.288219;-228.945938;1195.471313;0;0.533256;-0.535195;0.44482;0;2;56.519947;-281.559814;1057.176392;0;0.533256;-0.535195;0.44482;0;2;82.536621;-307.322815;1093.537476;0;0.717172;-0.063905;0.692975;0;2;131.5625;-279.571808;1195.93689;0;0.480978;0.44482;0.535195;0;2;34.626896;-309.737427;1088.827393;0;0.717172;-0.063905;0.692975;0;2;-20.410027;-296.93158;1195.585327;0;0.533256;-0.535195;0.44482;0;2;7368766464
31.142315;259.466187;950.857788;0;-0.179197;0.69753;-0.348279;0;2;37.940048;145.851608;1069.648315;0;-0.221783;0.670747;-0.397424;0;2;37.702023;41.569477;1149.794678;0;-0.438326;0.574355;-0.444281;0;2;46.556175;-153.380692;1194.48645;0;-0.479394;0.536877;-0.48891;0;2;76.165009;-120.198845;1186.409668;0;0.658062;-0.734542;-0.066911;0;2;200.763626;-80.971413;1168.696045;0;0.571995;-0.48247;-0.251392;0;2;231.320404;159.803085;1091.033447;0;0.073251;-0.535018;0.098648;0;2;142.179306;163.417313;896.648865;0;0.438462;0.421676;0.648972;0;2;124.173592;249.765579;886.423523;0;0.632166;-0.22036;0.741901;0;2;113.84919;212.487976;794.595764;0;0.632166;-0.22036;0.741901;0;2;85.155342;204.182388;802.000916;0;0.183506;0.262054;0.678803;0;2;14.211561;-121.699364;1189.672729;0;0.747284;0.651321;-0.130527;0;2;-102.852982;-97.886078;1168.797974;0;0.525416;0.582561;-0.577963;0;2;-162.800674;138.287872;1079.098267;0;0.559387;0.146197;-0.807493;0;2;-91.018227;161.097488;876.029175;0;-0.421267;0.452211;0.380427;0;2;-76.006287;181.408813;783.816772;0;0.534432;-0.511449;-0.296038;0;2;-85.251595;215.011032;692.285522;0;0.534432;-0.511449;-0.296038;0;2;-47.124821;161.988235;764.572876;0;0.576555;0.019607;-0.722172;0;2;112.022438;245.342896;932.721497;0;0.115013;0.745198;0.087337;0;2;61.411346;142.006271;581.94342;0;-0.381576;0.586473;-0.468038;0;1;68.784325;481.035095;484.575043;0;-0.382475;0.589956;-0.439753;0;1;57.507435;535.593628;321.050476;0;0.669297;-0.109279;0.723984;0;1;-41.790844;272.201813;967.212036;0;0.561444;0.077893;0.81898;0;1;-173.599319;282.247467;622.948181;0;0.46738;0.622642;0.53759;0;1;-97.92643;628.844727;587.563843;0;0.461702;0.62211;0.555176;0;1;-131.7509;715.690308;458.813446;0;0.114373;0.835813;-0.044592;0;1;49.276333;-228.521164;1199.040039;0;0.536928;-0.530882;0.447833;0;2;56.713661;-279.312897;1060.036621;0;0.536928;-0.530882;0.447833;0;2;82.632957;-305.597595;1096.111206;0;0.718279;-0.058724;0.692056;0;2;131.50589;-279.268066;1198.991699;0;0.478872;0.447833;0.530882;0;2;34.717464;-307.887817;1091.275391;0;0.718279;-0.058724;0.692056;0;2;-20.525789;-296.429047;1198.114136;0;0.536928;-0.530882;0.447833;0;2;7368800256
31.055647;258.628815;952.42218;0;-0.18776;0.695274;-0.342798;0;2;37.764969;145.285065;1070.196167;0;-0.234094;0.666513;-0.395823;0;2;37.515305;40.353001;1148.258545;0;-0.439447;0.574408;-0.443221;0;2;46.733883;-153.488647;1192.675293;0;-0.480503;0.537015;-0.487858;0;2;76.106621;-120.416824;1184.702271;0;0.657852;-0.734338;-0.069689;0;2;199.854736;-80.775558;1167.447388;0;0.573755;-0.482903;-0.247791;0;2;231.47377;158.217178;1089.389893;0;0.075618;-0.533223;0.101333;0;2;142.167953;162.13858;896.40979;0;0.448752;0.459923;0.636638;0;2;132.232864;249.307846;886.445374;0;0.615446;-0.187782;0.762611;0;2;115.197731;212.849716;795.902771;0;0.615446;-0.187782;0.762611;0;2;87.394127;200.736816;801.674744;0;-0.159085;-0.280761;-0.629031;0;2;14.499483;-122.065994;1187.838379;0;0.746994;0.651893;-0.128491;0;2;-101.982956;-97.733627;1168.293823;0;0.525498;0.584754;-0.577273;0;2;-162.960129;136.443375;1078.262085;0;0.5575;0.151256;-0.807652;0;2;-91.32119;160.637192;876.601074;0;-0.39151;0.48017;0.347872;0;2;-76.996918;179.873947;784.604187;0;0.507917;-0.533351;-0.259066;0;2;-85.264076;214.779312;694.059265;0;0.507917;-0.533351;-0.259066;0;2;-47.233406;163.613022;768.128723;0;0.549764;0.008211;-0.71046;0;2;111.947845;245.882233;935.546875;0;0.111777;0.741384;0.093543;0;2;66.322578;141.207184;586.662537;0;-0.385472;0.589267;-0.459595;0;1;69.252922;477.624512;487.182892;0;-0.387479;0.59236;-0.42423;0;1;60.279491;528.633667;323.392151;0;0.677007;-0.121929;0.714622;0;1;-41.888409;270.122986;967.639465;0;0.569336;0.064011;0.814899;0;1;-167.856155;271.743805;623.258301;0;0.470127;0.612783;0.540875;0;1;-99.417801;617.770752;587.676025;0;0.465365;0.609879;0.563126;0;1;-133.951462;701.250427;457.989838;0;0.113843;0.832761;-0.03033;0;1;49.62051;-228.200989;1197.192749;0;0.534015;-0.529772;0.448769;0;2;56.751793;-279.353851;1059.19397;0;0.534015;-0.529772;0.448769;0;2;82.253914;-305.560547;1095.208984;0;0.718762;-0.057278;0.691933;0;2;130.949142;-279.366943;1197.462402;0;0.482468;0.448769;0.529772;0;2;34.595638;-307.446655;1090.348755;0;0.718762;-0.057278;0.691933;0;2;-20.369375;-295.128815;1196.467896;0;0.534015;-0.529772;0.448769;0;2;7368833536
33.337593;257.550934;949.616699;0;-0.17374;0.697694;-0.347759;0;2;39.551346;145.72261;1068.730469;0;-0.22478;0.665249;-0.406397;0;2;37.744415;40.697136;1146.522461;0;-0.435168;0.576352;-0.443053;0;2;46.362831;-152.700806;1192.463257;0;-0.476364;0.538966;-0.487846;0;2;75.818443;-119.831696;1184.109985;0;0.655572;-0.73659;-0.068739;0;2;199.579819;-80.551292;1166.688843;0;0.582803;-0.47516;-0.230618;0;2;232.72377;157.252167;1086.136475;0;0.099038;-0.518892;0.098553;0;2;138.797379;171.019363;895.953918;0;0.446472;0.446823;0.639412;0;2;126.25605;257.812622;886.0896;0;0.620073;-0.230927;0.745098;0;2;113.940636;213.45192;798.41571;0;0.620073;-0.230927;0.745098;0;2;84.377235;200.558945;800.111145;0;-0.188886;-0.267273;-0.593052;0;2;14.252861;-121.207787;1187.497681;0;0.749901;0.649174;-0.125599;0;2;-102.359726;-97.731499;1168.103394;0;0.525148;0.581868;-0.579062;0;2;-161.374954;136.965424;1078.53772;0;0.559197;0.146819;-0.807668;0;2;-90.022995;160.131302;876.784241;0;-0.393641;0.481113;0.343895;0;2;-76.2099;179.977432;784.894226;0;0.510176;-0.533645;-0.254866;0;2;-84.981232;215.52301;694.70575;0;0.510176;-0.533645;-0.254866;0;2;-44.248432;166.090134;770.114502;0;0.540628;0.023199;-0.709022;0;2;113.601524;242.836029;931.614685;0;0.129344;0.744111;0.102085;0;2;61.921547;125.650703;587.807678;0;-0.376644;0.589659;-0.465281;0;1;69.243614;461.249969;486.507355;0;-0.375166;0.595292;-0.431945;0;1;57.935581;511.18576;322.632263;0;0.667879;-0.118618;0.722214;0;1;-39.039925;270.819977;965.849792;0;0.565544;0.0612;0.816467;0;1;-168.348892;266.418945;622.9552;0;0.472014;0.617187;0.537899;0;1;-94.850685;611.062988;586.064575;0;0.461108;0.619985;0.561109;0;1;-130.413742;695.772522;457.568359;0;0.118019;0.838456;-0.038905;0;1;48.969051;-227.342422;1197.578491;0;0.535887;-0.5348;0.441406;0;2;57.397854;-279.691406;1060.191895;0;0.535887;-0.5348;0.441406;0;2;83.135132;-305.146301;1096.536011;0;0.719499;-0.06604;0.690282;0;2;131.007339;-277.247314;1198.652344;0;0.481638;0.441406;0.5348;0;2;35.556656;-307.793945;1091.518921;0;0.719499;-0.06604;0.690282;0;2;-19.967512;-295.279785;1197.24646;0;0.535887;-0.5348;0.441406;0;2;7368866816
34.906017;277.859711;983.380371;0;-0.344431;0.613408;-0.29158;0;2;33.058022;150.116196;1080.721436;0;-0.380496;0.595957;-0.325767;0;2;33.042465;38.932247;1144.952393;0;-0.467148;0.558808;-0.42127;0;2;44.933659;-151.598022;1186.898682;0;0.50898;-0.523225;0.464726;0;2;73.219955;-118.151146;1181.570679;0;0.656535;-0.736571;-0.086808;0;2;195.115295;-78.468086;1170.183594;0;0.624515;-0.44454;-0.161374;0;2;238.720062;150.366165;1082.848389;0;0.138657;-0.454305;0.131393;0;2;124.134628;175.822464;910.156067;0;0.517186;0.42134;0.735076;0;2;121.534271;243.331375;855.832947;0;0.431688;-0.275716;0.801152;0;2;75.302246;174.362091;805.147217;0;0.431688;-0.275716;0.801152;0;2;71.658699;189.156616;798.450317;0;-0.143999;-0.340715;-0.519411;0;2;12.751967;-121.672729;1180.212891;0;0.736978;0.664672;-0.11827;0;2;-102.074745;-97.308342;1164.759399;0;0.51126;0.602064;-0.582536;0;2;-164.873978;130.214752;1072.306885;0;0.529579;0.163779;-0.821588;0;2;-83.371483;157.310745;879.085571;0;-0.41154;0.448103;0.420755;0;2;-66.351471;171.217529;788.368896;0;0.522056;-0.514313;-0.336621;0;2;-73.438751;197.141464;696.604736;0;0.522056;-0.514313;-0.336621;0;2;-35.197117;148.465424;771.358765;0;0.564934;0.00981;-0.757527;0;2;116.666763;281.519897;989.735962;0;0.057727;0.722022;0.099092;0;2;98.899719;201.55603;638.755188;0;-0.435704;0.585552;-0.433968;0;2;76.366875;535.140137;555.958923;0;-0.475726;0.552894;-0.315501;0;1;100.708084;582.683777;395.982635;0;0.768761;-0.170376;0.609155;0;1;-38.821247;274.559174;977.649292;0;0.667491;-0.01906;0.743269;0;1;-77.77095;244.87088;620.970825;0;0.504968;0.506812;0.54391;0;1;-69.520828;590.922485;584.491333;0;0.526374;0.475598;0.586336;0;1;-87.569656;650.789917;442.473877;0;0.09874;0.754372;0.080808;0;1;49.761688;-224.882843;1190.679565;0;0.524816;-0.544311;0.437157;0;2;56.697487;-280.477966;1057.304321;0;0.524816;-0.544311;0.437157;0;2;82.205368;-304.461487;1093.544312;0;0.715476;-0.075769;0.694002;0;2;130.193283;-274.142883;1192.557373;0;0.487019;0.437157;0.544311;0;2;35.417061;-307.043854;1089.099243;0;0.715476;-0.075769;0.694002;0;2;-18.182247;-291.353729;1192.995483;0;0.524816;-0.544311;0.437157;0;2;7368900096
34.493561;264.567139;955.071777;0;-0.257717;0.665196;-0.322826;0;2;37.63866;144.65564;1063.93103;0;-0.29377;0.645108;-0.361301;0;2;38.277691;38.199387;1137.664185;0;-0.444387;0.567409;-0.425721;0;2;45.935921;-152.676285;1186.294678;0;-0.48683;0.531441;-0.469852;0;2;75.254738;-119.987907;1179.053833;0;0.647613;-0.746036;-0.075802;0;2;198.811874;-82.577156;1165.611938;0;0.636831;-0.435575;-0.159528;0;2;246.624619;149.099426;1081.981567;0;0.139358;-0.444086;0.134026;0;2;127.276924;175.381393;910.480042;0;0.528134;0.41273;0.74101;0;2;125.731857;235.408173;846.931946;0;0.395965;-0.246272;0.81166;0;2;70.288391;168.852615;800.870239;0;0.395965;-0.246272;0.81166;0;2;52.638149;200.687653;823.715332;0;0.03478;-0.24504;-0.539238;0;2;14.180169;-121.813042;1179.311401;0;0.750815;0.648655;-0.122781;0;2;-101.518372;-98.996437;1160.576904;0;0.472258;0.638572;-0.578525;0;2;-168.397888;134.751526;1081.534302;0;-0.483181;-0.128109;0.852087;0;2;-61.717846;149.335617;897.458435;0;0.518496;-0.31586;-0.575044;0;2;-41.81876;162.698242;806.423706;0;0.603802;-0.408598;-0.513313;0;2;-47.899731;174.970642;710.967041;0;0.603802;-0.408598;-0.513313;0;2;-23.996273;148.879486;789.542297;0;0.692307;0.117145;-0.69734;0;2;116.777245;259.705109;947.338745;0;0.056863;0.709413;0.078148;0;2;112.051956;190.542694;590.523987;0;-0.455379;0.55527;-0.448457;0;1;101.147675;531.912537;527.110352;0;-0.45742;0.555297;-0.414835;0;1;104.292099;599.401794;371.008148;0;0.720988;-0.101946;0.681589;0;1;-39.70525;268.951477;962.044922;0;0.646035;0.023989;0.761183;0;1;-99.299072;257.994354;604.040955;0;0.506927;0.537714;0.539187;0;1;-66.925644;605.305603;564.637451;0;0.491828;0.551581;0.56432;0;1;-91.466934;682.318481;430.629913;0;0.090078;0.792573;0.011715;0;1;48.818584;-226.524261;1192.546021;0;0.53293;-0.535303;0.441213;0;2;56.919746;-279.306976;1056.77124;0;0.53293;-0.535303;0.441213;0;2;82.277794;-304.428253;1092.945679;0;0.719452;-0.066532;0.690501;0;2;129.833176;-276.388489;1193.945923;0;0.484529;0.441213;0.535303;0;2;35.128036;-306.833557;1087.981812;0;0.719452;-0.066532;0.690501;0;2;-19.834511;-293.469879;1192.635132;0;0.53293;-0.535303;0.441213;0;2;7368933376
